n,ila
0,0
1,0
2,0
3,1425
4,-3341
5,14620
6,-39194
7,168460
8,337187
9,383219
10,272754
11,138562
12,51451
13,-144327
14,-174269
15,-234484
16,-129075
17,-99138
18,-47710
19,12129
20,302309
21,393510
22,9106
23,107556
24,545274
25,418000
26,143973
27,-13456
28,93174
29,304833
30,420325
31,509147
32,117494
33,-492034
34,-328317
35,213321
36,449416
37,341627
38,30817
39,91255
40,225742
41,218875
42,-20175
43,-116273
44,192472
45,390494
46,305928
47,112524
48,-109630
49,236404
50,275647
51,378222
52,13040
53,-315425
54,-347083
55,21533
56,287583
57,-87266
58,-62113
59,173853
60,201377
61,105648
62,35182
63,-546501
64,-559111
65,-203761
66,195940
67,218975
68,126174
69,-207643
70,-197963
71,95233
72,226427
73,227480
74,122039
75,41147
76,137068
77,128475
78,-69285
79,257529
80,146193
81,49041
82,-138353
83,-93418
84,-94692
85,-142665
86,-80801
87,-116496
88,29856
89,1514
90,-77509
91,-39067
92,175697
93,18653
94,-175276
95,-60620
96,122387
97,380211
98,404287
99,105878
100,-74731
101,-124730
102,97843
103,699939
104,475520
105,54153
106,-4712
107,-10098
108,127649
109,-34086
110,51151
111,22101
112,-220482
113,-148240
114,-201029
115,-499769
116,-383949
117,169752
118,383183
119,204748
120,20497
121,-111638
122,-154588
123,109786
124,206208
125,-17906
126,-106598
127,14624
128,132452
129,-209752
130,-92119
131,118967
132,141473
133,19825
134,-1185
135,36405
136,-268829
137,30635
138,129536
139,91164
140,136063
141,171612
142,43183
143,-165656
144,-25995
145,51594
146,185133
147,-1845
148,-165836
149,-119638
150,-248169
151,-324060
152,-488136
153,-179959
154,-56355
155,-106811
156,-116205
157,72409
158,115760
159,94764
160,-8351
161,-45219
162,147879
163,70191
164,-142082
165,-351922
166,48590
167,-11512
168,-163022
169,-211751
170,19818
171,88338
172,-24752
173,-69227
174,-57504
175,84835
176,125383
177,47904
178,-75886
179,-38483
180,3109
181,-54148
182,-143340
183,16825
184,195352
185,-179666
186,-466941
187,-410434
188,-21228
189,144675
190,-242885
191,-96047
192,227104
193,125705
194,81995
195,162250
196,37900
197,-147591
198,-123017
199,-97272
200,-150351
201,-234200
202,-330126
203,-189976
204,-118850
205,-160192
206,-57396
207,-129926
208,-116806
209,-220014
210,-261307
211,-287823
212,-211983
213,77709
214,13185
215,-86412
216,-247976
217,-76793
218,-4109
219,8734
220,-168639
221,-403157
222,-251580
223,-69517
224,40639
225,-148198
226,-147918
227,-70837
228,-200700
229,-317647
230,-255348
231,-98859
232,-223915
233,-136233
234,97606
235,275793
236,320549
237,165451
238,185982
239,127447
240,151258
241,88465
242,51867
243,137757
244,31358
245,-46026
246,85146
247,130953
248,215460
249,176764
250,111641
251,357352
252,313982
253,101004
254,-103924
255,37044
256,402562
257,412589
258,86967
259,80845
260,78253
261,84745
262,124388
263,257815
264,332882
265,252698
266,183785
267,76456
268,200259
269,254789
270,207673
271,175113
272,145819
273,67276
274,65372
275,120334
276,317564
277,202761
278,247811
279,284456
280,222170
281,303436
282,140819
283,155914
284,-68022
285,72129
286,184123
287,1184
288,-18652
289,-93525
290,52147
291,51388
292,244417
293,411034
294,209935
295,82123
296,57853
297,186983
298,264972
299,120312
300,26482
301,155175
302,-23971
303,-72992
304,-55149
305,-56645
306,-67314
307,-128851
308,-54072
309,-36442
310,-86864
311,-17772
312,118391
313,71142
314,5439
315,-87157
316,34309
317,24091
318,-23760
319,-168013
320,-263079
321,-230882
322,-185363
323,-57222
324,-12692
325,30713
326,74196
327,-39706
328,-56550
329,-37037
330,3425
331,157485
332,-39548
333,-76193
334,-223478
335,-162882
336,10884
337,99818
338,129210
339,-149348
340,-240003
341,-202801
342,-166947
343,-175505
344,-124673
345,-153672
346,-174225
347,-58651
348,-32284
349,-62323
350,-18453
351,-31800
352,-56044
353,16029
354,-74699
355,-97341
356,-87455
357,-56089
358,-81993
359,-92481
360,-25732
361,-11202
362,-104430
363,-16990
364,21659
365,9882
366,-35266
367,37320
368,-2323
369,-62561
370,-54129
371,5121
372,136546
373,80882
374,39077
375,6292
376,124674
377,67908
378,125518
379,161944
380,51336
381,-19638
382,82500
383,73348
384,78924
385,82575
386,252414
387,158157
388,74313
389,-33459
390,-18181
